,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,0,date,0.1,0.2,0.3,0
GMS,,,,,,2023-01-31,,,,10
GNK,,,,,,2023-01-31,,,,35
GNTY,,,,,,2023-01-31,,,,19
GPI,,,,,,2023-01-31,,,,2
GRPN,,,,,,2023-01-31,,,,-17
GSBC,,,,,,2023-01-31,,,,10
GTHX,,,,,,2023-01-31,,,,-19
GVA,,,,,,2023-01-31,,,,15
HAFC,,,,,,2023-01-31,,,,27
HALL,,,,,,2023-01-31,,,,-21
HBT,,,,,,2023-01-31,,,,30
HCAT,,,,,,2023-01-31,,,,-10
HCC,,,,,,2023-01-31,,,,16
HCCI,,,,,,2023-01-31,,,,16
HCP,,,,,,2023-01-31,,,,-4
HEAR,,,,,,2023-01-31,,,,-16
HIBB,,,,,,2023-01-31,,,,9
HNRG,,,,,,2023-01-31,,,,-17
